#Alive,2020,6.3,"['Zombie Horror', 'Action', 'Drama', 'Horror', 'Thriller']",Korean,"Yoo Ahin, Park Shinhye, Jeon Baesoo","Il Cho, Jo Il Hyung"
Butchers,2020,4.6,"['Slasher Horror', 'Horror', 'Thriller']",English,"Simon Phillips, Michael Swatton, Julie Mainville",Adrian Langley
The Sleepover,2020,5.7,"['Action', 'Adventure', 'Comedy', 'Family']",English,"Sadie Stanley, Maxwell Simkins, Cree",Trish Sie
A Whisker Away,2020,6.7,"['Anime', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Romance']",Japanese,"Mirai Shida, Natsuki Hanae, Minako Kotobuki","Junichi Sat, Tomotaka Shibayama"
Original Gangster,2020,5.0,['Crime'],English,"Steve Guttenberg, Ian Reddington, Vas Blackwood",Savvas D Michael
Christmas with a Crown,2020,5.4,"['Holiday Romance', 'Holiday', 'Romance']",English,"Lisa Durupt, Marcus Rosner, Teryl Rothery",Dylan Pearce
Love Sarah,2020,6.2,"['Comedy', 'Drama', 'Romance']",English,"Celia Imrie, Shannon Tarbet, Shelley Conn",Eliza Schroeder
Sky High,2020,5.6,['Thriller'],Spanish,"Miguel Herrn, Carolina Yuste, Asia Ortega",Daniel Calparsoro
13 Slays Till X-Mas,2020,4.1,['Horror'],English,"Jeffrey Reddick, Sadie Katz, Jessica Anderson","Brittany Blanton, Sean Blevins, Jed Brian"
Abraham Lincoln: Vampire Hunter,2012,5.9,"['Dark Fantasy', 'Vampire Horror', 'Action', 'Fantasy', 'Horror']",English,"Benjamin Walker, Rufus Sewell, Dominic Cooper",Timur Bekmambetov
The Impossible,2012,7.5,"['Disaster', 'Tragedy', 'Drama', 'History', 'Thriller']","English, Thai, German, Swedish, Spanish","Naomi Watts, Ewan McGregor, Tom Holland",JA Bayona
Man on a Ledge,2012,6.6,"['Dark Comedy', 'Action', 'Crime', 'Thriller']","English, Spanish","Sam Worthington, Elizabeth Banks, Jamie Bell",Asger Leth
Evangelion: 3.0 You Can (Not) Redo,2012,6.9,"['Adult Animation', 'Anime', 'Mecha', 'Action', 'Animation', 'Drama', 'SciFi']","English, German, Spanish, French, Catalan, Russian, Italian, Korean, Thai, Cantonese, Japanese","Megumi Ogata, Megumi Hayashibara, Yko Miyamura","Mahiro Maeda, Masayuki, Kazuya Tsurumaki"
Our Children,2012,6.8,"['Crime', 'Drama']","French, Arabic","milie Dequenne, Claire Bodson, Niels Arestrup",Joachim Lafosse
Star Wars: Episode VIII - The Last Jedi,2017,6.9,"['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'SciFi Epic', 'Space SciFi', 'Action', 'Adventure', 'Fantasy', 'SciFi']",English,"Daisy Ridley, John Boyega, Mark Hamill",Rian Johnson
