Jawan,2023,6.9,"['Action Epic', 'OnePerson Army Action', 'Action', 'Crime', 'Drama', 'Thriller']",Hindi
BTS: Yet to Come in Cinemas,2023,8.6,"['Documentary', 'Music']",Korean
The Beast,2023,6.5,"['Drama', 'Romance', 'SciFi', 'Thriller']","French, English"
Every Body,2023,6.6,['Documentary'],English
Mars Express,2023,7.5,"['Adult Animation', 'Artificial Intelligence', 'Cyber Thriller', 'Action', 'Animation', 'Mystery', 'SciFi', 'Thriller']",French
The League,2023,7.4,"['Sports Documentary', 'Documentary', 'Sport']",English
High & Low - John Galliano,2023,7.1,"['Biography', 'Documentary']","English, French"
Rare Objects,2023,5.3,['Drama'],"English, Spanish"
Total Trust,2023,7.1,['Documentary'],"Mandarin, English"
Senior Year: Love Never Fails,2023,7.8,"['Drama', 'Family', 'Romance', 'Sport']",English
The Fourth Kind,2009,5.9,"['Found Footage Horror', 'Psychological Horror', 'Psychological Thriller', 'Horror', 'Mystery', 'SciFi', 'Thriller']","English, Aboriginal"
A Perfect Getaway,2009,6.5,"['Drama', 'Mystery', 'Thriller']",English
Get Low,2009,7.0,"['Drama', 'Mystery']",English
Today's Special,2009,6.6,['Comedy'],"English, Hindi"
My Dog Tulip,2009,6.9,"['Animation', 'Drama']",English
City of Life and Death,2009,7.7,"['Drama', 'History', 'War']","Mandarin, English, Japanese, German"
Collapse,2009,7.7,['Documentary'],English
Oh My God,2009,6.1,"['Faith  Spirituality Documentary', 'Documentary']",English
Stolen,2009,6.1,"['Crime', 'Drama', 'Mystery']",English
Last Ride,2009,6.6,"['Tragedy', 'Crime', 'Drama']",English
Falling Awake,2009,5.9,"['Romance', 'Thriller']",English
Exam,2009,6.7,"['Psychological Thriller', 'Crime', 'Mystery', 'Thriller']","English, French, Cantonese"
Time Bandits,1981,6.9,"['Dark Fantasy', 'Fantasy Epic', 'Farce', 'Globetrotting Adventure', 'Quest', 'Satire', 'Steampunk', 'Time Travel', 'Adventure', 'Comedy']",English
The Legend of the Lone Ranger,1981,4.9,"['Superhero', 'Action', 'Adventure', 'Drama', 'Western']",English
First Monday in October,1981,6.4,"['Comedy', 'Drama']",English
Victory,1981,6.6,"['Soccer', 'Drama', 'Sport', 'War']","English, German, French"
Rubber Tarzan,1981,6.4,"['Drama', 'Family']",Danish
Rasputin,1981,7.0,"['Biography', 'Drama', 'History']",Russian
Firecracker,1981,5.6,"['Martial Arts', 'Action', 'Drama', 'Thriller']",English
