title,year,rating_imdb,genre,language
Branded to Kill,1967,7.2,"['Action', 'Crime', 'Drama', 'Thriller']","Japanese, English"
Poor Cow,1967,6.8,"['Crime', 'Drama', 'Romance']",English
Vengeance Is Mine,1967,6.4,"['Spaghetti Western', 'Western']","Italian, Spanish"
The Glory Stompers,1967,5.0,"['Action', 'Drama']",English
The Mummy's Shroud,1967,5.5,['Horror'],English
The Living Corpse,1967,5.1,"['Crime', 'Drama', 'Horror']","Urdu, English"
Dark Story of a Japanese Rapist,1967,5.7,"['Crime', 'Drama', 'Horror']",Japanese
The Face of Medusa,1967,5.9,['Drama'],"Greek, English"
Roxanne,1987,6.6,"['Romantic Comedy', 'Slapstick', 'Comedy', 'Romance']",English
The Fourth Protocol,1987,6.5,"['Dark Comedy', 'Spy', 'Thriller']",English
Barfly,1987,7.1,"['Comedy', 'Drama', 'Romance']",English
The Care Bears Adventure in Wonderland,1987,5.7,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",English
Sammy and Rosie Get Laid,1987,6.6,"['Comedy', 'Drama', 'Romance']","English, Urdu"
The Year My Voice Broke,1987,7.3,"['Period Drama', 'Drama', 'Romance']",English
Law of Desire,1987,7.1,"['Comedy', 'Drama', 'Thriller']",Spanish
Happy New Year,1987,5.9,"['Comedy', 'Crime', 'Horror', 'Romance']",English
Thong Girls,1987,4.4,"['Raunchy Comedy', 'Comedy']",Spanish
Thoovanathumbikal,1987,8.6,"['Drama', 'Romance']",Malayalam
Scared Stiff,1987,4.8,['Horror'],English
Empire State,1987,5.1,"['Crime', 'Thriller']",English
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,6.8,"['Road Trip', 'Comedy', 'Drama']","English, French, Italian"
Showgirls,1995,5.1,"['Showbiz Drama', 'Drama']",English
Halloween: The Curse of Michael Myers,1995,4.7,"['Slasher Horror', 'Supernatural Horror', 'Horror', 'Thriller']",English
Clockers,1995,6.9,"['Crime', 'Drama', 'Mystery']",English
The Scarlet Letter,1995,5.3,"['Drama', 'Romance']",English
Bad Company,1995,5.4,"['Crime', 'Drama', 'Thriller']",English
A Month by the Lake,1995,6.2,"['Period Drama', 'Comedy', 'Drama', 'Romance']",English
"Cry, the Beloved Country",1995,6.8,"['Legal Drama', 'Legal Thriller', 'Psychological Drama', 'Drama', 'Thriller']",English
Ballot Measure 9,1995,8.0,['Documentary'],English
Provocation,1995,4.4,"['Drama', 'Romance']",Italian
Forbidden Games,1995,4.4,"['Erotic Thriller', 'Whodunnit', 'Crime', 'Mystery', 'Thriller']",English
Boccaccio '70,1962,7.0,"['Comedy', 'Fantasy', 'Romance']","Italian, German"
Jack the Giant Killer,1962,6.3,"['Sword  Sorcery', 'Adventure', 'Family', 'Fantasy']",English
Sodom and Gomorrah,1962,5.7,"['Desert Adventure', 'Historical Epic', 'Adventure', 'Drama', 'History']","English, Spanish, Indonesian"
The Magic Sword,1962,4.8,"['Quest', 'Sword  Sorcery', 'Adventure', 'Drama', 'Fantasy']",English
If a Man Answers,1962,6.8,"['Comedy', 'Romance']","English, French"
Love on a Pillow,1962,5.5,"['Drama', 'Romance']",French
Love at Twenty,1962,7.2,"['Drama', 'Romance']","French, Polish, Japanese, Italian, German"
Play It Cool,1962,5.6,"['Drama', 'Musical']",English
Murder Can Be Deadly,1962,5.8,['Thriller'],English
Strongroom,1962,7.2,"['Crime', 'Drama', 'Thriller']",English
Jacktown,1962,4.9,['Drama'],English
Hypnosis,1962,5.8,"['Horror', 'Thriller']","French, German, Spanish, Italian"
La edad de la inocencia,1962,7.8,"['Drama', 'Family']",Spanish
"The Stars Will Tell, Inspector Palmu",1962,7.3,"['Comedy', 'Crime', 'Thriller']",Finnish
Typhoon,1962,7.1,['Drama'],Mandarin
Minions: The Rise of Gru,2022,6.5,"['Computer Animation', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'SciFi']","English, Vietnamese"
Sisu,2022,6.9,"['Action Epic', 'OnePerson Army Action', 'Action', 'War']","English, Finnish"
She Said,2022,7.3,"['Docudrama', 'Drama', 'History']","English, Hebrew, Cantonese"
After Ever Happy,2022,4.7,"['Drama', 'Romance']",English
Gangubai Kathiawadi,2022,7.8,"['True Crime', 'Biography', 'Crime', 'Drama']",Hindi
Brian and Charles,2022,6.7,"['Quirky Comedy', 'Comedy', 'Drama', 'SciFi']",English
iMordecai,2022,5.7,"['Comedy', 'Drama', 'Family']",English
Squaring the Circle: The Story of Hipgnosis,2022,7.7,"['Documentary', 'History']",English
My Old School,2022,7.1,"['Docudrama', 'Comedy', 'Documentary', 'Drama']",English
La Syndicaliste,2022,6.6,"['Drama', 'Thriller']","French, English, Hungarian"
Flux Gourmet,2022,5.8,"['Dark Comedy', 'Quirky Comedy', 'Comedy', 'Drama', 'Horror']","English, Greek, German"
Rebel,2022,7.4,"['Action', 'Drama', 'Thriller']","Arabic, French, English, Dutch"
Christmas with the Campbells,2022,5.4,"['Comedy', 'Romance']",English
Significant Other,2022,5.7,"['Drama', 'Horror', 'Mystery', 'SciFi', 'Thriller']",English
A Christmas Mystery,2022,6.0,"['Whodunnit', 'Comedy', 'Drama', 'Family', 'Mystery']",English
White Noise,2022,5.7,"['Dark Comedy', 'Satire', 'Comedy', 'Drama', 'Horror', 'Mystery']","English, German"
Arachnophobia,1990,6.5,"['Dark Comedy', 'Comedy', 'Horror', 'Thriller']","English, Spanish"
Madhouse,1990,5.4,['Comedy'],English
An Angel at My Table,1990,7.4,"['Biography', 'Drama']","English, Spanish"
I Bought a Vampire Motorcycle,1990,5.4,"['Dark Comedy', 'Parody', 'Comedy', 'Crime', 'Fantasy', 'Horror']",English
Hired to Kill,1990,4.9,"['Action', 'Thriller']",English
The Rainbow Thief,1990,5.8,"['Drama', 'Fantasy']",English
Nils Karlsson Pyssling,1990,5.7,"['Family', 'Fantasy']",Swedish
Cyber-C.H.I.C.,1990,2.5,"['Superhero', 'Action', 'Comedy', 'SciFi']",English
Enid Is Sleeping,1990,5.4,"['Dark Comedy', 'Comedy', 'Crime']",English
Ruff Sex,1990,4.8,"['Drama', 'Horror']",Japanese
Class of Fear,1990,4.5,"['Crime', 'Drama', 'Thriller']",English
Agter Elke Man,1990,6.9,['Drama'],"Afrikaans, English"
Western Lights,1990,6.4,['Documentary'],French
The Santa Clause 3: The Escape Clause,2006,4.8,"['Holiday Comedy', 'Holiday Family', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Holiday']",English
Final Destination 3,2006,5.8,"['Supernatural Horror', 'Horror', 'Thriller']",English
American Dreamz,2006,5.5,"['Satire', 'Comedy', 'Music']","English, Mandarin"
Tell No One,2006,7.5,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",French
Rescue Dawn,2006,7.3,"['Jungle Adventure', 'Adventure', 'Biography', 'War']","English, Lao, Vietnamese"
This Film Is Not Yet Rated,2006,7.4,['Documentary'],English
The Bubble,2006,7.2,"['Comedy', 'Drama', 'Romance']","Hebrew, Arabic, English"
Only the Brave,2006,5.3,"['Drama', 'War']",English
What the Bleep!?: Down the Rabbit Hole,2006,6.4,"['Faith  Spirituality Documentary', 'Documentary', 'Drama']",English
Severance,2006,6.4,"['Dark Comedy', 'Slasher Horror', 'Comedy', 'Horror']","English, Hungarian, Russian"
Radiant City,2006,6.9,"['Comedy', 'Documentary', 'Drama']",English
Grbavica,2006,7.2,['Drama'],Bosnian
Monkey Warfare,2006,6.5,"['Comedy', 'Drama']",English
Gringo Wedding,2006,4.8,"['Comedy', 'Romance']","Spanish, English"
Santa and the Three Bears,1970,6.6,"['Animation', 'Family', 'Fantasy']","English, French"
Olsen-banden og Dynamitt-Harry,1970,6.5,"['Comedy', 'Crime', 'Family']",Norwegian
