title,year,rating_imdb,genre,language
Strip Nude for Your Killer,1975,5.6,"['Erotic Thriller', 'Giallo', 'Slasher Horror', 'Horror', 'Mystery', 'Thriller']",Italian
Carry on Behind,1975,5.6,"['Parody', 'Slapstick', 'Comedy']",English
"So Young, So Lovely, So Vicious...",1975,4.9,"['Drama', 'Mystery', 'Thriller']",Italian
Mahogany,1975,6.1,"['Drama', 'Romance']","English, Italian"
Foreplay,1975,4.0,"['Parody', 'Satire', 'Sketch Comedy', 'Comedy']",English
The Man from Hong Kong,1975,6.6,"['Action', 'Adventure', 'Crime', 'Drama']","English, Mandarin"
Night of the Seagulls,1975,5.7,['Horror'],Spanish
The Olsen Gang on the Track,1975,7.2,"['Comedy', 'Crime', 'Family']",Danish
A Woman Called Sada Abe,1975,6.1,"['Biography', 'Drama']",Japanese
Zinda Dil,1975,6.9,"['Action', 'Romance']",Hindi
Disciples of Shaolin,1975,6.6,"['Martial Arts', 'Action', 'Drama']",Mandarin
"Oh, God!",1977,6.6,"['Comedy', 'Fantasy']","English, Spanish"
Heroes,1977,6.0,"['Psychological Drama', 'Comedy', 'Drama']","English, Spanish"
"Race for Your Life, Charlie Brown",1977,7.2,"['HandDrawn Animation', 'Quest', 'Adventure', 'Animation', 'Comedy', 'Family']",English
Short Eyes,1977,7.0,['Drama'],English
Soldier of Orange,1977,7.6,"['Drama', 'Romance', 'Thriller', 'War']","Dutch, English, German"
Amar Akbar Anthony,1977,7.4,"['Action', 'Comedy', 'Drama', 'Music']",Hindi
"Messalina, Messalina",1977,4.0,"['Parody', 'Adventure', 'Comedy']",Italian
Beast with a Gun,1977,5.9,"['Action', 'Crime', 'Drama', 'Thriller']",Italian
Porno Nights of the World,1977,4.0,['Documentary'],"Italian, English"
Charleston,1977,5.5,['Comedy'],Italian
Double Nickels,1977,5.0,"['Police Procedural', 'Action', 'Comedy', 'Crime']",English
The Professionals,1966,7.3,"['Action', 'Adventure', 'Drama', 'Western']","English, Spanish"
Duel at Diablo,1966,6.5,"['Classical Western', 'Drama', 'Thriller', 'Western']",English
Return of the Seven,1966,5.5,"['Action', 'Drama', 'Western']","English, Spanish, Greek, Ancient to 1453, Latin"
The Ghost in the Invisible Bikini,1966,4.6,"['Comedy', 'Horror', 'Musical']",English
Made in Paris,1966,5.4,"['Romantic Comedy', 'Comedy', 'Romance']","English, French"
The Daydreamer,1966,6.1,"['Fairy Tale', 'Stop Motion Animation', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Musical']",English
Come imparai ad amare le donne,1966,5.3,['Comedy'],Italian
The Round-Up,1966,7.5,"['Drama', 'History', 'War', 'Western']",Hungarian
War Between the Planets,1966,4.1,['SciFi'],Italian
Secret Agent Super Dragon,1966,2.6,"['Mystery', 'Thriller']",Italian
As Long as You've Got Your Health,1966,7.1,"['Satire', 'Comedy']",French
An Eye for an Eye,1966,6.1,['Western'],English
Abschied von gestern - (Anita G.),1966,6.9,['Drama'],German
O papatrehas,1966,7.9,['Comedy'],Greek
Jesse James Meets Frankenstein's Daughter,1966,3.4,"['Horror', 'SciFi', 'Western']","English, German"
Krybskytterne på Næsbygård,1966,5.5,"['Drama', 'Family']",Danish
Wake Up and Die,1966,6.2,"['Crime', 'Drama']",Italian
Der lachende Mann - Bekenntnisse eines Mörders,1966,7.1,"['Documentary', 'War']",German
Movie Madness,1982,3.2,"['Parody', 'Comedy']",English
Love Strange Love,1982,5.8,['Drama'],Portuguese
Moj tata na odredjeno vreme,1982,7.1,['Comedy'],SerboCroatian
Harry Tracy: The Last of the Wild Bunch,1982,6.1,"['Drama', 'Western']",English
Held,2020,5.3,"['Horror', 'Mystery', 'Thriller']",English
MLK/FBI,2020,7.0,"['History Documentary', 'Biography', 'Documentary', 'History']",English
Minyan,2020,6.5,['Drama'],"English, Hebrew, Yiddish, Russian"
The Old Guard,2020,6.7,"['Globetrotting Adventure', 'Superhero', 'Action', 'Thriller']","English, Arabic, French, Italian"
Run,2020,6.7,"['Psychological Thriller', 'Suspense Mystery', 'Drama', 'Horror', 'Mystery', 'Thriller']",English
The Very Excellent Mr. Dundee,2020,5.0,['Comedy'],English
Palm Swings,2020,4.4,"['Comedy', 'Drama', 'Romance']",English
#Alive,2020,6.3,"['Zombie Horror', 'Action', 'Drama', 'Horror', 'Thriller']",Korean
Butchers,2020,4.6,"['Slasher Horror', 'Horror', 'Thriller']",English
The Sleepover,2020,5.7,"['Action', 'Adventure', 'Comedy', 'Family']",English
A Whisker Away,2020,6.7,"['Anime', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Romance']",Japanese
Original Gangster,2020,5.0,['Crime'],English
Christmas with a Crown,2020,5.4,"['Holiday Romance', 'Holiday', 'Romance']",English
Love Sarah,2020,6.2,"['Comedy', 'Drama', 'Romance']",English
Sky High,2020,5.6,['Thriller'],Spanish
13 Slays Till X-Mas,2020,4.1,['Horror'],English
Abraham Lincoln: Vampire Hunter,2012,5.9,"['Dark Fantasy', 'Vampire Horror', 'Action', 'Fantasy', 'Horror']",English
The Impossible,2012,7.5,"['Disaster', 'Tragedy', 'Drama', 'History', 'Thriller']","English, Thai, German, Swedish, Spanish"
Man on a Ledge,2012,6.6,"['Dark Comedy', 'Action', 'Crime', 'Thriller']","English, Spanish"
Evangelion: 3.0 You Can (Not) Redo,2012,6.9,"['Adult Animation', 'Anime', 'Mecha', 'Action', 'Animation', 'Drama', 'SciFi']","English, German, Spanish, French, Catalan, Russian, Italian, Korean, Thai, Cantonese, Japanese"
Our Children,2012,6.8,"['Crime', 'Drama']","French, Arabic"
Star Wars: Episode VIII - The Last Jedi,2017,6.9,"['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'SciFi Epic', 'Space SciFi', 'Action', 'Adventure', 'Fantasy', 'SciFi']",English
Kingsman: The Golden Circle,2017,6.7,"['Drug Crime', 'Satire', 'Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']","English, Italian, Swedish"
Captain Underpants: The First Epic Movie,2017,6.2,"['Buddy Comedy', 'Computer Animation', 'Farce', 'HighConcept Comedy', 'Parody', 'Slapstick', 'Superhero', 'Urban Adventure', 'Action', 'Adventure']","English, German"
Happy Death Day,2017,6.6,"['Dark Comedy', 'Slasher Horror', 'Teen Horror', 'Comedy', 'Horror', 'Mystery', 'Thriller']","English, Spanish"
The Circle,2017,5.4,"['Conspiracy Thriller', 'Cyber Thriller', 'Drama', 'Mystery', 'SciFi', 'Thriller']",English
Phoenix Forgotten,2017,5.4,"['Found Footage Horror', 'Horror', 'Mystery', 'SciFi', 'Thriller']",English
The Rider,2017,7.4,"['Drama', 'Western']","English, Sioux, Spanish"
Pokémon the Movie: I Choose You!,2017,6.3,"['Anime', 'Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'SciFi']","Japanese, English"
Jane,2017,7.8,"['Science  Technology Documentary', 'Biography', 'Documentary']",English
3 Idiots,2017,4.4,['Comedy'],Spanish
Thelma,2017,6.9,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Romance', 'SciFi', 'Thriller']","Norwegian, Swedish, English"
Saving Brinton,2017,7.5,['Documentary'],English
Beautiful Accident,2017,6.5,"['Comedy', 'Fantasy']",Mandarin
The China Hustle,2017,7.1,['Documentary'],"English, Mandarin"
Pirates of the Caribbean: On Stranger Tides,2011,6.6,"['Fantasy Epic', 'Quest', 'Sea Adventure', 'Swashbuckler', 'Action', 'Adventure', 'Fantasy']","English, Spanish"
Captain America: The First Avenger,2011,6.9,"['SciFi Epic', 'Superhero', 'Action', 'Adventure', 'SciFi']","English, Norwegian, French"
The Rum Diary,2011,6.1,"['Comedy', 'Drama']","English, Spanish, German"
Take Shelter,2011,7.3,"['Psychological Drama', 'Psychological Thriller', 'Workplace Drama', 'Drama', 'Thriller']",English
Rampart,2011,5.8,"['Crime', 'Drama']",English
Pariah,2011,7.2,"['ComingofAge', 'Teen Drama', 'Drama']",English
The Last Lions,2011,8.2,"['Nature Documentary', 'Documentary', 'Family']",English
Undefeated,2011,7.7,"['Football', 'Sports Documentary', 'Documentary', 'Sport']",English
Creature,2011,3.6,['Horror'],English
CornerStore,2011,7.2,['Comedy'],English
The Swimming Pool,1969,7.1,"['Psychological Drama', 'Crime', 'Drama', 'Romance']","French, English"
"Hook, Line and Sinker",1969,5.4,['Comedy'],"English, Spanish, Portuguese"
Double Suicide,1969,7.6,"['Drama', 'Romance']",Japanese
Snegurochka,1969,6.9,"['Family', 'Fantasy', 'Musical', 'Romance']",Russian
Van de Velde: Das Leben zu zweit - Sexualität in der Ehe,1969,4.1,['Romance'],German
Angel,1983,5.8,"['Action', 'Crime', 'Thriller']",English
Gabriela,1983,6.2,"['Comedy', 'Drama', 'Romance']",Portuguese
El Sur,1983,7.8,"['ComingofAge', 'Tragic Romance', 'Drama', 'Mystery', 'Romance']",Spanish
Eyes of Fire,1983,6.2,"['Folk Horror', 'Drama', 'Horror', 'Western']",English
Spring Symphony,1983,6.1,"['Biography', 'Music']",German
Thoongathey Tambi Thoongathey,1983,6.5,['Drama'],Tamil
Kirot,1983,4.0,"['Drama', 'Romance']","Filipino, English, Tagalog"
Cannonball Run II,1984,5.1,"['Car Action', 'Road Trip', 'Action', 'Comedy']",English
The NeverEnding Story,1984,7.3,"['Adventure Epic', 'Fantasy Epic', 'Quest', 'Sword  Sorcery', 'Adventure', 'Drama', 'Family', 'Fantasy']",English
Breakin' 2: Electric Boogaloo,1984,5.2,"['Pop Musical', 'Comedy', 'Drama', 'Musical']","English, Spanish"
Birdy,1984,7.2,"['Drama', 'War']",English
Petit Con,1984,6.0,['Comedy'],French
Winter Flight,1984,7.3,"['Drama', 'Romance']",English
The Dog Who Stopped the War,1984,7.5,"['Comedy', 'Drama', 'Family']",French
Double Trouble,1984,7.1,"['Buddy Comedy', 'Action', 'Comedy']","Italian, English, Portuguese"
Sword of the Valiant,1984,4.4,"['Swashbuckler', 'Sword  Sorcery', 'Action', 'Adventure', 'Fantasy', 'Romance']",English
Hell Behind the Bars,1984,3.8,"['Action', 'Crime', 'Drama', 'Thriller']","English, Italian"
Rats: Night of Terror,1984,4.7,"['BHorror', 'Horror', 'SciFi']",Italian
Maybe It's Love,1984,5.5,"['Drama', 'Mystery']",Cantonese
Elite Devassa,1984,5.0,['Drama'],Portuguese
Pati Patni Aur Woh,2019,5.8,"['Comedy', 'Romance']",Hindi
The Reliant,2019,3.3,['Action'],English
The Informer,2019,6.6,"['Police Procedural', 'Prison Drama', 'Spy', 'Action', 'Crime', 'Drama', 'Thriller']","English, Polish, Spanish"
Mister America,2019,6.4,['Comedy'],English
Intuitions,2019,3.7,"['Romance', 'Thriller']","English, Spanish"
Kill Bill: Vol. 2,2004,8.0,"['Kung Fu', 'Martial Arts', 'OnePerson Army Action', 'Action', 'Crime', 'Thriller']","English, Cantonese, Mandarin, Spanish"
Kung Fu Hustle,2004,7.7,"['Kung Fu', 'Martial Arts', 'Parody', 'Slapstick', 'Wuxia', 'Action', 'Comedy', 'Fantasy']","Mandarin, Cantonese"
Envy,2004,4.8,"['Buddy Comedy', 'Dark Comedy', 'Comedy']","English, Italian"
Touch of Pink,2004,6.4,"['Comedy', 'Drama', 'Romance']",English
Kings & Queen,2004,7.0,"['Comedy', 'Drama', 'Romance']","French, English, German"
Rolling Family,2004,6.6,"['Comedy', 'Drama']",Spanish
The Ister,2004,7.1,['Documentary'],"French, German, Romanian, English"
Producing Adults,2004,6.1,"['Comedy', 'Drama']",Finnish
King's Game,2004,7.3,"['Political Thriller', 'Drama', 'Thriller']",Danish
Madame,1961,6.0,"['Comedy', 'Drama', 'Romance', 'War']","French, Italian"
A Cold Wind in August,1961,6.6,['Drama'],"Italian, English"
Pagan Island,1961,4.5,"['Action', 'Adventure']",English
Queen of the Seas,1961,5.5,"['Action', 'Adventure', 'Drama', 'Romance']",Italian
The Canadians,1961,5.4,['Western'],English
Suicídate mi amor,1961,7.0,"['Comedy', 'Drama']",Spanish
The Corsican Brothers,1961,5.5,['Action'],"Italian, French"
I Now Pronounce You Chuck & Larry,2007,5.9,"['Comedy', 'Romance']",English
Because I Said So,2007,5.6,"['Romantic Comedy', 'Comedy', 'Romance']","English, Mandarin, Italian"
28 Weeks Later,2007,6.9,"['Zombie Horror', 'Horror', 'SciFi']",English
Daddy Day Camp,2007,3.2,"['Slapstick', 'Comedy', 'Family']",English
Nobel Son,2007,6.1,"['Caper', 'Dark Comedy', 'Comedy', 'Crime', 'Drama', 'Thriller']",English
My Winnipeg,2007,7.5,"['Dark Comedy', 'Comedy', 'Documentary', 'Drama', 'Fantasy', 'History']",English
Cover,2007,5.3,"['Crime', 'Drama', 'Thriller']",English
Fear(s) of the Dark,2007,6.6,"['Adult Animation', 'Supernatural Horror', 'Animation', 'Horror', 'Mystery']",French
Mother of Tears,2007,5.0,"['Supernatural Horror', 'Witch Horror', 'Drama', 'Horror', 'Thriller']","Italian, Japanese, Hungarian, English"
YPF,2007,6.2,"['Comedy', 'Drama', 'Romance']",English
Bronco Billy,1980,6.2,"['Contemporary Western', 'Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Western']",English
The Gong Show Movie,1980,4.4,"['Dark Comedy', 'Comedy']",English
The King and the Mockingbird,1980,7.7,"['Animation', 'Family', 'Fantasy', 'Romance']",French
The Amorous Sisters,1982,4.9,['Comedy'],German
Nightkill,1980,5.5,"['Crime', 'Horror', 'Mystery', 'Thriller']",English
Zübük,1980,8.5,['Comedy'],Turkish
Confidence,1980,7.5,['Drama'],"Hungarian, German"
Girls,1980,5.2,['Drama'],French
Quello strano desiderio,1980,4.6,"['Comedy', 'SciFi']",Italian
Challengers,2024,7.1,"['Psychological Drama', 'Steamy Romance', 'Comedy', 'Drama', 'Romance', 'Sport']","English, Romanian"
The Exorcism,2024,4.2,"['Psychological Horror', 'Supernatural Horror', 'Horror', 'Thriller']",English
Bird,2024,7.1,"['ComingofAge', 'Drama']",English
Crossing,2024,7.5,['Drama'],"Georgian, Turkish, English"
The Last Showgirl,2024,6.1,['Drama'],English
Rajkumar,2024,7.3,"['Drama', 'Family', 'Romance']",Bengali
Pastor's Kid,2024,6.5,"['Biography', 'Drama']",English
Mind Body & Soul,2024,7.5,['Comedy'],English
Jackpot!,2024,5.8,"['Buddy Comedy', 'Dark Comedy', 'Slapstick', 'Action', 'Comedy']",English
Armand,2024,6.4,"['Psychological Drama', 'Drama']","Norwegian, English"
Diamanti,2024,7.1,"['Comedy', 'Drama']",Italian
Mea Culpa,2024,4.2,"['Erotic Thriller', 'Crime', 'Drama', 'Thriller']",English
All the Lost Ones,2024,4.3,"['Drama', 'SciFi', 'Thriller']",English
Brewster's Millions: Christmas,2024,5.7,['Family'],English
Colors of Evil: Red,2024,6.4,"['Crime', 'Drama', 'Mystery', 'Thriller']",Polish
Ricochet,1991,6.2,"['Cop Drama', 'Action', 'Crime', 'Drama', 'Thriller']","English, Spanish, German, French"
Career Opportunities,1991,5.8,"['FeelGood Romance', 'Romantic Comedy', 'Comedy', 'Romance']",English
Dice Rules,1991,5.3,"['StandUp', 'Comedy', 'Documentary']",English
Danzón,1991,6.8,['Drama'],Spanish
A Scene at the Sea,1991,7.5,"['Comedy', 'Drama', 'Romance', 'Sport']",Japanese
Grand Tour: Disaster in Time,1991,6.4,"['Dark Comedy', 'Mystery', 'SciFi']",English
Den ofrivillige golfaren,1991,5.7,"['Comedy', 'Sport']","Swedish, Norwegian, English"
The Hideaway,1991,6.6,['Drama'],Danish
Major League,1989,7.2,"['Baseball', 'Comedy', 'Sport']","English, Spanish, Japanese"
"Sex, Lies, and Videotape",1989,7.2,"['Dark Comedy', 'Drama']",English
Communion,1989,5.5,"['Biography', 'Drama', 'Horror', 'SciFi', 'Thriller']",English
Night Game,1989,5.0,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",English
Animal Behavior,1989,3.9,"['Comedy', 'Romance']",English
Far from Home,1989,5.5,"['Crime', 'Drama', 'Mystery', 'Thriller']",English
Urotsukidoji: Legend of the Overfiend,1989,6.3,"['Adult Animation', 'Anime', 'Dark Comedy', 'Animation', 'Fantasy', 'Horror', 'Romance']",Japanese
Snake Eater,1989,4.5,['Action'],English
The Meeting Point,1989,8.2,"['Satire', 'Comedy', 'Drama', 'Fantasy']",SerboCroatian
Eversmile New Jersey,1989,5.4,"['Comedy', 'Drama', 'Romance']",English
I Want to Go Home,1989,5.4,"['Satire', 'Comedy']","French, English"
Batwara,1989,6.3,"['Action', 'Drama']",Hindi
Life as We Know It,2010,6.5,"['Romantic Comedy', 'Comedy', 'Drama', 'Romance']",English
The Last Exorcism,2010,5.7,"['Found Footage Horror', 'Supernatural Horror', 'Horror', 'Mystery', 'Thriller']","English, Latin"
Of Gods and Men,2010,7.2,"['Drama', 'History']","French, Arabic"
Housefull,2010,5.6,"['Comedy', 'Drama']",Hindi
Love Crime,2010,6.5,"['Psychological Thriller', 'Crime', 'Drama', 'Mystery', 'Thriller']","French, English, Japanese"
The Nutcracker: The Untold Story,2010,4.1,"['Action', 'Family', 'Fantasy', 'Musical']",English
The Big Picture,2010,6.6,"['Drama', 'Thriller']","French, Serbian, English"
Exporting Raymond,2010,6.8,"['Comedy', 'Documentary']","Russian, English"
The Human Resources Manager,2010,6.6,"['Comedy', 'Drama']","Hebrew, English, Romanian, French"
Film socialisme,2010,5.7,['Drama'],"French, German, English, Italian, Russian, Spanish, Latin, Arabic, Bambara, Hebrew, Greek"
John Q,2002,7.1,"['Medical Drama', 'Crime', 'Drama', 'Thriller']","English, Spanish"
Showtime,2002,5.5,"['Buddy Cop', 'Action', 'Comedy', 'Crime']",English
Analyze That,2002,5.9,"['Buddy Comedy', 'Comedy', 'Crime']",English
Devdas,2002,7.5,"['Drama', 'Musical', 'Romance']",Hindi
Respiro,2002,7.0,['Drama'],"Italian, Sicilian"
The Journey,2002,7.5,['Drama'],English
Home Room,2002,7.1,"['Crime', 'Drama']",English
Convoy,1978,6.3,"['Dark Comedy', 'Action', 'Drama']","English, Spanish"
La Cage aux Folles,1978,7.2,"['Farce', 'Satire', 'Comedy']",French
The Fury,1978,6.3,"['Horror', 'SciFi', 'Thriller']",English
An Enemy of the People,1978,6.9,['Drama'],English
The Alpha Incident,1978,3.9,"['Horror', 'SciFi', 'Thriller']",English
Yasei no shômei,1978,6.1,['Crime'],Japanese
Madanolsavam,1978,7.3,"['Drama', 'Romance']",Malayalam
Men Can't Be Raped,1978,6.1,"['Crime', 'Drama']",Swedish
"Yesterday, Today and Tomorrow",1963,7.2,"['Comedy', 'Romance']",Italian
Enough Rope,1963,6.3,"['Crime', 'Drama', 'Thriller']",French
Raven's End,1963,7.3,['Drama'],Swedish
Jak byc kochana,1963,7.3,['Drama'],"Polish, German, French"
30 Years of Fun,1963,6.5,['Comedy'],English
The Bad Seed,1963,7.7,"['Crime', 'Drama', 'Thriller']",Turkish
Martha,1967,7.1,"['Comedy', 'Drama', 'Family', 'Romance']",Danish
The Plank,1967,6.7,['Comedy'],English
Festival,1967,7.5,"['Documentary', 'Music']",English
Grand Slam,1967,6.8,"['Caper', 'Heist', 'Crime', 'Drama']","English, Portuguese, French, German"
Smashing Time,1967,5.9,"['Satire', 'Comedy', 'Musical']",English
Si quiero,1967,5.5,"['Comedy', 'Drama', 'Romance']",Spanish
"C'mon, Let's Live a Little",1967,5.3,"['Comedy', 'Musical']",English
He and She,1967,5.0,"['Drama', 'Horror', 'Thriller']",Greek
The King's Pirate,1967,5.5,"['Swashbuckler', 'Adventure']",English
No Way Out,1987,7.1,"['Political Thriller', 'Spy', 'Steamy Romance', 'Action', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']","English, Russian"
Penitentiary III,1987,4.4,"['Action', 'Crime', 'Drama', 'Sport']",English
The Caller,1987,6.1,"['Suspense Mystery', 'Mystery', 'SciFi', 'Thriller']",English
Doraemon: Nobita and the Knights on Dinosaurs,1987,6.7,"['Anime', 'Adventure', 'Animation', 'Family', 'Fantasy', 'SciFi']",Japanese
Sweets from a Stranger,1987,5.2,"['Drama', 'Horror', 'Mystery', 'Thriller']",Italian
Blindside,1987,4.7,['Thriller'],English
Forget Paris,1995,6.5,"['Romantic Comedy', 'Comedy', 'Romance']","English, French"
Home for the Holidays,1995,6.6,"['Comedy', 'Drama', 'Romance']",English
Othello,1995,6.8,"['Tragedy', 'Drama', 'Romance']",English
Flamenco,1995,7.4,"['Documentary', 'Music']",Spanish
Feast of July,1995,6.2,"['Crime', 'Drama', 'Mystery', 'Romance']",English
Flirt,1995,6.3,"['Drama', 'Romance']","English, Japanese, German"
The Stars Fell on Henrietta,1995,6.4,['Drama'],English
For Better or Worse,1995,4.8,"['Action', 'Comedy', 'Drama']",English
Best of the Best 3: No Turning Back,1995,4.9,"['Martial Arts', 'Action', 'Crime', 'Drama', 'Thriller']",English
Jules and Jim,1962,7.7,"['Period Drama', 'Psychological Drama', 'Tragic Romance', 'Drama', 'Romance']","French, German, English"
State Fair,1962,5.9,"['Musical', 'Romance']","English, Italian, Spanish, French"
David and Lisa,1962,7.2,['Drama'],English
Diary of a Mad Old Man,1962,7.0,"['Comedy', 'Drama']",Japanese
Family Diary,1962,7.2,['Drama'],"Italian, English"
Terrified,1962,4.4,"['Slasher Horror', 'Horror']",English
Medaljon sa tri srca,1962,7.8,"['Drama', 'Romance']",SerboCroatian
Mediterranean Holiday,1962,7.5,['Documentary'],German
Avatar: The Way of Water,2022,7.5,"['Action Epic', 'Adventure Epic', 'SciFi Epic', 'Sea Adventure', 'Action', 'Adventure', 'Fantasy', 'SciFi']",English
The Bad Guys,2022,6.8,"['Animal Adventure', 'Computer Animation', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family']","English, Spanish"
EO,2022,6.7,"['Psychological Drama', 'Drama']","Polish, Italian, English, French, Spanish"
God's Country,2022,5.6,"['Psychological Thriller', 'Thriller']",English
Dreamin' Wild,2022,6.4,"['Biography', 'Drama', 'Music']",English
The Return of Tanya Tucker: Featuring Brandi Carlile,2022,7.3,['Documentary'],English
Linoleum,2022,6.5,"['Space SciFi', 'Drama', 'SciFi']",English
God's Time,2022,5.0,"['HighConcept Comedy', 'Comedy', 'Drama']",English
Chip 'n Dale: Rescue Rangers,2022,6.9,"['Buddy Comedy', 'Computer Animation', 'HandDrawn Animation', 'Urban Adventure', 'Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family']",English
Causeway,2022,6.6,"['Psychological Drama', 'Drama']","English, American Sign Language"
All the Old Knives,2022,6.1,"['Suspense Mystery', 'Mystery', 'Thriller']",English
Kindergarten Cop,1990,6.2,"['Cop Drama', 'HighConcept Comedy', 'Action', 'Comedy', 'Crime']","English, Spanish, German"
DuckTales the Movie: Treasure of the Lost Lamp,1990,6.8,"['HandDrawn Animation', 'Quest', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",English
Lisa,1990,5.9,"['Drama', 'Horror', 'Thriller']",English
Impulse,1990,5.7,"['Crime', 'Drama', 'Thriller']",English
The Invisible Maniac,1990,4.3,"['Raunchy Comedy', 'Slasher Horror', 'Comedy', 'Horror', 'SciFi']",English
The Big Steal,1990,6.8,['Comedy'],English
Tatar Ramazan,1990,7.9,['Drama'],Turkish
Maniac Nurses find Ecstasy,1990,2.8,"['Action', 'Comedy', 'Horror']",English
Korczak,1990,7.4,"['Biography', 'Drama', 'War']","Polish, German"
Shiva,1990,7.6,"['Action', 'Crime', 'Drama']",Hindi
Kizhakku Vasal,1990,7.1,"['Drama', 'Romance']",Tamil
Cellini: A Violent Life,1990,7.1,"['Biography', 'Drama', 'History']",Italian
Flags of Our Fathers,2006,7.1,"['War Epic', 'Action', 'Adventure', 'Drama', 'History', 'War']",English
Miss Potter,2006,7.0,"['Docudrama', 'Period Drama', 'Biography', 'Drama', 'Romance']",English
Copying Beethoven,2006,6.7,"['Period Drama', 'Biography', 'Drama', 'Music']",English
Outsourced,2006,7.0,"['Workplace Drama', 'Comedy', 'Drama', 'Romance']","English, Hindi"
Renaissance,2006,6.6,"['Adult Animation', 'Action', 'Animation', 'SciFi', 'Thriller']","English, French"
The Situation,2006,6.3,"['Drama', 'War']","English, Arabic"
Been Rich All My Life,2006,8.4,['Documentary'],English
Shanghai Red,2006,5.5,['Drama'],"English, Mandarin"
Rio Lobo,1970,6.7,"['Drama', 'War', 'Western']","English, Spanish"
The Cheyenne Social Club,1970,6.8,['Western'],English
The Midnight Graduate,1970,6.2,"['Drama', 'Romance']",English
"Rabbit, Run",1970,5.4,['Drama'],English
The Baby Maker,1970,6.1,['Drama'],English
The Lady in the Car with Glasses and a Gun,1970,6.1,"['Drama', 'Mystery', 'Thriller']",French
Fools,1970,5.1,['Drama'],English
Coach Carter,2005,7.3,"['Basketball', 'Docudrama', 'Biography', 'Drama', 'Sport']",English
Land of the Dead,2005,6.2,"['Dark Comedy', 'Zombie Horror', 'Horror', 'SciFi', 'Thriller']","English, Spanish, Italian, Polish, French"
Boynton Beach Club,2005,6.5,"['Comedy', 'Romance']",English
Happy Endings,2005,6.3,"['Comedy', 'Drama', 'Music', 'Romance', 'Thriller']","English, Spanish"
Slow Burn,2005,5.7,"['Drama', 'Mystery', 'Thriller']",English
The Young Lieutenant,2005,6.9,"['Crime', 'Drama']","French, Polish, Russian"
The Zodiac,2005,5.3,"['True Crime', 'Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",English
Mozart and the Whale,2005,6.7,"['Comedy', 'Drama', 'Romance']",English
Emmanuel's Gift,2005,7.6,['Documentary'],English
Giuliani Time,2005,6.9,['Documentary'],English
The Method,2005,7.1,"['Drama', 'Thriller']","Spanish, English, French"
Laura,1979,5.6,"['Drama', 'Romance']",French
The In-Laws,1979,7.3,"['Buddy Comedy', 'Caper', 'Farce', 'Screwball Comedy', 'Spy', 'Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']","English, Spanish, Mandarin"
The Double McGuffin,1979,6.5,"['Family', 'Mystery']",English
Stone Cold Dead,1979,5.2,"['Crime', 'Thriller']",English
Bacanal en directo,1979,4.1,"['ComingofAge', 'Raunchy Comedy', 'Teen Drama', 'Tragedy', 'Comedy', 'Drama']",Spanish
Autumn Marathon,1979,7.8,"['Comedy', 'Drama', 'Romance']",Russian
Krigernes børn,1979,4.6,['Drama'],Danish
Il corpo della ragassa,1979,5.9,"['Comedy', 'Drama']",Italian
Que Viva Mexico,1979,7.4,"['Documentary', 'Drama', 'Western']",Russian
Teenage Mutant Ninja Turtles,2014,5.8,"['Samurai', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Crime', 'Fantasy', 'SciFi']","English, Japanese"
Fury,2014,7.6,"['Period Drama', 'Action', 'Drama', 'War']","English, German"
The Grand Budapest Hotel,2014,8.1,"['Caper', 'Quirky Comedy', 'Adventure', 'Comedy', 'Crime']","English, French, German"
The Water Diviner,2014,7.0,"['Drama', 'History', 'War']","English, Turkish, Greek, Russian"
The Song,2014,5.9,"['Drama', 'Music', 'Romance']",English
23 Blast,2014,6.4,"['Football', 'Drama', 'Sport']",English
Glen Campbell: I'll Be Me,2014,7.9,"['Biography', 'Documentary', 'Family', 'Music']",English
Ballet 422,2014,6.3,"['Documentary', 'Music', 'Sport']",English
In the Name of My Daughter,2014,6.1,"['True Crime', 'Crime', 'Drama']",French
The Blue Room,2014,6.3,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",French
Flowers,2014,6.7,['Drama'],Basque
Spring,2014,6.7,"['Dark Romance', 'Monster Horror', 'Drama', 'Horror', 'Romance', 'SciFi']","English, Italian, French, German"
The Man with the Golden Gun,1974,6.7,"['Spy', 'Action', 'Adventure', 'Thriller']","English, Thai, Cantonese"
Young Lucrezia,1974,4.8,"['Biography', 'Drama']",Italian
